Issue Id,Parent Id,Issue Type,Summary,Epic Name,Epic Link,Parent,Description,Acceptance Criteria,Priority,Story Points,Sprint,Status,Labels
E1,,Epic,Backend Foundation,Backend Foundation,,,"Secure backend APIs for authentication, user profile lookup, application CRUD, dashboard aggregation, PostgreSQL persistence, Swagger, and service tests.","Backend APIs support current MVP scope; JWT authentication is enforced; Swagger and tests validate completed backend behavior.",Highest,,Completed / v0.1,Done,"backend,api,security"
E2,,Epic,Frontend MVP Foundation,Frontend MVP Foundation,,,"Next.js frontend foundation with authentication, protected routes, dashboard, and application CRUD using existing backend APIs.","Frontend uses real APIs; JWT session is stored and restored; dashboard and application workflows are functional.",Highest,,Completed / v0.2,Done,"frontend,api-integration"
E3,,Epic,Premium SaaS UI,Premium SaaS UI,,,"Premium responsive SaaS interface, fixed sidebar, improved dashboard, applications page, and Kanban board.","UI is responsive; sidebar is fixed; dashboard/applications UX is improved; board uses existing APIs.",Highest,,Sprint 1 / v0.3,To Do,"frontend,ui,ux,responsive"
E4,,Epic,Advanced Application Management,Advanced Application Management,,,"Advanced search, filters, sorting, and result handling for larger application pipelines.","Users can find and manage applications efficiently without mock data.",High,,Sprint 2 / v1.0,To Do,"frontend,applications,search,filters"
E5,,Epic,Resume Manager,Resume Manager,,,"Resume upload and resume management foundation for future AI workflows.","Users can upload and manage resumes securely after contracts are approved.",Medium,,Sprint 2 / v1.0,To Do,"resume,frontend,backend"
E6,,Epic,Calendar and Reminders,Calendar and Reminders,,,"Interview and follow-up reminder workflow based on approved roadmap.","Users can see upcoming follow-up/interview reminders without breaking application tracking.",Medium,,Sprint 2 / v1.0,To Do,"calendar,reminders"
E7,,Epic,AI Features,AI Features,,,"Approved AI resume analyzer, job match scoring, and career assistant.","AI features are built only after contracts and data handling are approved.",Medium,,Sprint 3 / v1.0,To Do,"ai,resume,applications"
E8,,Epic,Deployment,Deployment,,,"Frontend and backend production readiness and deployment.","Frontend and backend deploy successfully with environment configuration, migrations, and smoke tests.",High,,Sprint 3 / v1.0,To Do,"deployment,release"
S1,,Story,AF-ST-001 User Registration API,,Backend Foundation,,As a new user I want to register an account so that I can use ApplyFlow AI securely.,"POST /api/auth/register creates user; duplicate email is rejected; password is hashed; JWT and user response are returned; Swagger validation passes.",Highest,5,Completed / v0.1,Done,"backend,authentication,jwt,security"
T1,S1,Task,Implement registration service and endpoint,,Backend Foundation,AF-ST-001 User Registration API,Create DTO controller service persistence and JWT response for registration.,"Registration path works end to end and duplicate users are rejected.",Highest,,Completed / v0.1,Done,"backend,authentication"
SB1,T1,Sub-task,Validate registration with Swagger,,Backend Foundation,Implement registration service and endpoint,Execute Swagger request and verify successful and duplicate registration cases.,"Swagger evidence confirms registration behavior.",High,,Completed / v0.1,Done,"swagger,testing"
S2,,Story,AF-ST-002 User Login API,,Backend Foundation,,As a registered user I want to log in so that I can access protected features.,"POST /api/auth/login authenticates valid users; invalid credentials fail; JWT and user response are returned; token accesses protected APIs.",Highest,5,Completed / v0.1,Done,"backend,authentication,jwt,security"
T2,S2,Task,Implement login service and endpoint,,Backend Foundation,AF-ST-002 User Login API,Validate credentials compare hashed password and generate JWT.,"Valid login returns token and invalid login returns error.",Highest,,Completed / v0.1,Done,"backend,authentication"
SB2,T2,Sub-task,Verify protected access with login token,,Backend Foundation,Implement login service and endpoint,Use generated token against protected endpoint.,"Protected endpoint accepts valid token.",High,,Completed / v0.1,Done,"testing,jwt"
S3,,Story,AF-ST-003 Current User Profile API,,Backend Foundation,,As an authenticated user I want to retrieve my profile so that the frontend can restore my session.,"GET /api/users/me requires JWT; returns authenticated user profile; missing or invalid token is rejected.",Highest,3,Completed / v0.1,Done,"backend,authentication,users"
T3,S3,Task,Implement current user endpoint,,Backend Foundation,AF-ST-003 Current User Profile API,Extract user identity from JWT claims and return user DTO.,"Endpoint returns current authenticated user only.",Highest,,Completed / v0.1,Done,"backend,users"
SB3,T3,Sub-task,Test unauthorized users/me request,,Backend Foundation,Implement current user endpoint,Call endpoint without token and verify rejection.,"Missing token is rejected.",High,,Completed / v0.1,Done,"testing,security"
S4,,Story,AF-ST-004 Application CRUD APIs,,Backend Foundation,,As a user I want to create view update and delete job applications so that I can track my job search.,"POST GET GET by id PUT DELETE application APIs work; records are scoped to authenticated user; advanced fields are supported.",Highest,13,Completed / v0.1,Done,"backend,crud,applications,postgresql"
T4,S4,Task,Implement application CRUD service and controller,,Backend Foundation,AF-ST-004 Application CRUD APIs,Build model DTOs service controller DbContext mapping and migrations for application management.,"All CRUD endpoints work for authenticated user-owned records.",Highest,,Completed / v0.1,Done,"backend,crud"
SB4,T4,Sub-task,Validate CRUD authorization boundaries,,Backend Foundation,Implement application CRUD service and controller,Confirm users cannot access records owned by another user.,"Cross-user access is prevented.",Highest,,Completed / v0.1,Done,"security,testing"
S5,,Story,AF-ST-005 Dashboard APIs,,Backend Foundation,,As a user I want dashboard statistics so that I can understand my application pipeline.,"Summary status distribution and monthly stats endpoints return authenticated user's data and require JWT.",High,8,Completed / v0.1,Done,"backend,dashboard,analytics"
T5,S5,Task,Implement dashboard aggregation service,,Backend Foundation,AF-ST-005 Dashboard APIs,Create summary distribution and monthly aggregation queries.,"Dashboard APIs return correct DTOs.",High,,Completed / v0.1,Done,"backend,dashboard"
SB5,T5,Sub-task,Add dashboard service tests,,Backend Foundation,Implement dashboard aggregation service,Validate dashboard calculations using test data.,"Dashboard tests pass.",High,,Completed / v0.1,Done,"testing,dashboard"
S6,,Story,AF-ST-006 Backend Swagger and Service Testing,,Backend Foundation,,As a developer I want Swagger and service tests so that backend behavior is verifiable.,"Swagger is available in development; bearer token security is represented; service tests exist; backend test commands pass.",High,5,Completed / v0.1,Done,"backend,swagger,testing"
T6,S6,Task,Configure Swagger and test structure,,Backend Foundation,AF-ST-006 Backend Swagger and Service Testing,Document Swagger usage and maintain service test project.,"Swagger and test project are usable.",High,,Completed / v0.1,Done,"swagger,testing"
SB6,T6,Sub-task,Run backend build and tests,,Backend Foundation,Configure Swagger and test structure,Execute backend validation commands.,"Build and tests pass.",High,,Completed / v0.1,Done,"testing"
S7,,Story,AF-ST-007 Frontend Authentication,,Frontend MVP Foundation,,As a user I want to register and log in from the frontend so that I can access my account.,"Login/register pages call backend APIs; JWT session is stored; AuthContext manages state; errors and loading states display.",Highest,8,Completed / v0.2,Done,"frontend,authentication,jwt"
T7,S7,Task,Build frontend auth flow,,Frontend MVP Foundation,AF-ST-007 Frontend Authentication,Create Axios client AuthContext login page register page and storage flow.,"Frontend auth works with backend APIs.",Highest,,Completed / v0.2,Done,"frontend,authentication"
SB7,T7,Sub-task,Verify auth persistence after refresh,,Frontend MVP Foundation,Build frontend auth flow,Login refresh page and confirm session restoration.,"Session restores from localStorage.",High,,Completed / v0.2,Done,"testing,jwt"
S8,,Story,AF-ST-008 Protected Frontend Routes,,Frontend MVP Foundation,,As an authenticated user I want protected frontend routes so that private data is not visible without login.,"Protected pages redirect unauthenticated users; authenticated users access dashboard and applications; logout clears session.",Highest,5,Completed / v0.2,Done,"frontend,authentication,routing"
T8,S8,Task,Implement protected app shell,,Frontend MVP Foundation,AF-ST-008 Protected Frontend Routes,Wrap protected pages with AppShell and route guard logic.,"Route protection behaves as documented.",Highest,,Completed / v0.2,Done,"frontend,routing"
SB8,T8,Sub-task,Smoke test unauthenticated redirect,,Frontend MVP Foundation,Implement protected app shell,Open protected route without session and confirm login redirect.,"Unauthenticated users land on login.",High,,Completed / v0.2,Done,"testing"
S9,,Story,AF-ST-009 Frontend Dashboard MVP,,Frontend MVP Foundation,,As a user I want a frontend dashboard so that I can view my application summary.,"Dashboard calls real dashboard APIs and renders summary status distribution monthly stats loading and error states.",High,8,Completed / v0.2,Done,"frontend,dashboard,api-integration"
T9,S9,Task,Build dashboard API integration,,Frontend MVP Foundation,AF-ST-009 Frontend Dashboard MVP,Create dashboard page service calls and display components.,"Dashboard renders real API data.",High,,Completed / v0.2,Done,"frontend,dashboard"
SB9,T9,Sub-task,Verify dashboard loading and error states,,Frontend MVP Foundation,Build dashboard API integration,Exercise loading and API failure states.,"States are visible and understandable.",Medium,,Completed / v0.2,Done,"testing"
S10,,Story,AF-ST-010 Frontend Application CRUD MVP,,Frontend MVP Foundation,,As a user I want to manage applications from the frontend so that I can track opportunities in the browser.,"Applications list create edit and delete use real backend APIs; loading error and empty states exist.",Highest,13,Completed / v0.2,Done,"frontend,crud,applications"
T10,S10,Task,Build application CRUD screens,,Frontend MVP Foundation,AF-ST-010 Frontend Application CRUD MVP,Create list form create edit and delete workflows.,"Application CRUD works from frontend.",Highest,,Completed / v0.2,Done,"frontend,crud"
SB10,T10,Sub-task,Smoke test create edit delete workflow,,Frontend MVP Foundation,Build application CRUD screens,Create edit and delete a test application against backend.,"Workflow succeeds using real APIs.",High,,Completed / v0.2,Done,"testing,applications"
S11,,Story,AF-ST-011 Premium App Shell and Fixed Sidebar,,Premium SaaS UI,,As a user I want a professional SaaS shell with fixed sidebar so navigation remains stable while content scrolls.,"Desktop sidebar remains fixed; main content scrolls independently; mobile navigation exposes primary destinations; all breakpoints work.",Highest,8,Sprint 1 / v0.3,To Do,"frontend,ui,ux,responsive,enhancement"
T11,S11,Task,Redesign protected app shell,,Premium SaaS UI,AF-ST-011 Premium App Shell and Fixed Sidebar,Update AppShell and AppHeader for fixed sidebar mobile nav and scroll containment.,"Layout behaves like a professional SaaS dashboard.",Highest,,Sprint 1 / v0.3,To Do,"frontend,ui"
SB11,T11,Sub-task,Verify sidebar across breakpoints,,Premium SaaS UI,Redesign protected app shell,Test mobile tablet laptop desktop and large screen behavior.,"Sidebar/content behavior is correct.",Highest,,Sprint 1 / v0.3,To Do,"responsive,testing"
S12,,Story,AF-ST-012 Premium Login and Register UI,,Premium SaaS UI,,As a user I want polished login and register screens so the product feels trustworthy.,"Login/register pages have premium responsive design; AuthContext and API behavior are preserved.",High,5,Sprint 1 / v0.3,To Do,"frontend,ui,authentication,responsive"
T12,S12,Task,Restyle authentication pages,,Premium SaaS UI,AF-ST-012 Premium Login and Register UI,Improve layout typography spacing and visual hierarchy for auth pages.,"Auth pages render premium UI without logic changes.",High,,Sprint 1 / v0.3,To Do,"frontend,ui"
SB12,T12,Sub-task,Verify login register submissions,,Premium SaaS UI,Restyle authentication pages,Confirm forms still submit through existing auth flow.,"Auth submissions still work.",High,,Sprint 1 / v0.3,To Do,"testing,authentication"
S13,,Story,AF-ST-013 Dashboard UI Redesign,,Premium SaaS UI,,As a user I want a premium dashboard layout so I can understand pipeline health quickly.,"Hero metric cards and charts are improved; existing dashboard APIs are used; empty loading error states are improved.",Highest,8,Sprint 1 / v0.3,To Do,"frontend,ui,dashboard,charts"
T13,S13,Task,Redesign dashboard presentation,,Premium SaaS UI,AF-ST-013 Dashboard UI Redesign,Improve hero summary cards status chart and monthly chart components.,"Dashboard has clear visual hierarchy and responsive layout.",Highest,,Sprint 1 / v0.3,To Do,"frontend,dashboard"
SB13,T13,Sub-task,Verify dashboard still uses API data,,Premium SaaS UI,Redesign dashboard presentation,Inspect service usage and smoke test dashboard rendering.,"No mock data is introduced.",Highest,,Sprint 1 / v0.3,To Do,"api-integration,testing"
S14,,Story,AF-ST-014 Applications Page Redesign,,Premium SaaS UI,,As a user I want a clean responsive applications page so I can manage applications efficiently.,"Page header spacing filters table status badges actions and mobile card layout are improved; CRUD remains working.",Highest,8,Sprint 1 / v0.3,To Do,"frontend,ui,applications,responsive"
T14,S14,Task,Redesign applications workspace,,Premium SaaS UI,AF-ST-014 Applications Page Redesign,Improve page filters table and mobile card layout while preserving CRUD actions.,"Applications page is responsive and usable.",Highest,,Sprint 1 / v0.3,To Do,"frontend,applications"
SB14,T14,Sub-task,Verify delete action after redesign,,Premium SaaS UI,Redesign applications workspace,Delete an application and confirm backend state updates.,"Delete workflow remains intact.",High,,Sprint 1 / v0.3,To Do,"testing,crud"
S15,,Story,AF-ST-015 Kanban Board,,Premium SaaS UI,,As a user I want a Kanban board so I can move applications between statuses visually.,"/applications/board exists; six status columns show real data; drag/drop updates status using PUT application API; table page still works.",Highest,13,Sprint 1 / v0.3,To Do,"frontend,kanban,applications,api-integration"
T15,S15,Task,Build application board route and drag drop,,Premium SaaS UI,AF-ST-015 Kanban Board,Add board route reusable kanban component grouping optimistic update and error handling.,"Board updates application status through existing backend API.",Highest,,Sprint 1 / v0.3,To Do,"frontend,kanban"
SB15,T15,Sub-task,Test failed board update handling,,Premium SaaS UI,Build application board route and drag drop,Simulate failed update or inspect error path and confirm rollback/error behavior.,"Failure does not corrupt board state.",High,,Sprint 1 / v0.3,To Do,"testing,kanban"
S16,,Story,AF-ST-016 Enhanced Search Filter and Sort,,Advanced Application Management,,As a user I want enhanced search filters and sorting so I can find applications faster.,"Search covers application fields; filters cover status job type work mode source; sort covers date company status follow-up; no mock data.",High,8,Sprint 2 / v1.0,To Do,"frontend,search,filters,sort,applications"
T16,S16,Task,Implement enhanced list controls,,Advanced Application Management,AF-ST-016 Enhanced Search Filter and Sort,Add sort state controls and improved filter behavior.,"Users can combine search filters and sorting.",High,,Sprint 2 / v1.0,To Do,"frontend,filters"
SB16,T16,Sub-task,Test filter and sort combinations,,Advanced Application Management,Implement enhanced list controls,Verify expected results across multiple filter/sort combinations.,"Results are accurate and empty state appears when needed.",High,,Sprint 2 / v1.0,To Do,"testing"
S17,,Story,AF-ST-017 Pagination or Result Chunking,,Advanced Application Management,,As a user with many applications I want result pagination or chunking so large lists remain usable.,"Large lists remain performant; pagination or chunking controls exist if needed; empty and last-page states are handled.",Medium,5,Sprint 2 / v1.0,To Do,"frontend,applications,performance"
T17,S17,Task,Add result management pattern,,Advanced Application Management,AF-ST-017 Pagination or Result Chunking,Assess and implement pagination or client-side chunking for application results.,"Large result sets remain usable.",Medium,,Sprint 2 / v1.0,To Do,"performance,frontend"
SB17,T17,Sub-task,Verify mobile large-list behavior,,Advanced Application Management,Add result management pattern,Test large list controls on mobile layout.,"Mobile remains usable with many records.",Medium,,Sprint 2 / v1.0,To Do,"responsive,testing"
S18,,Story,AF-ST-018 Resume Upload,,Resume Manager,,As a user I want to upload resumes so I can organize job-search documents.,"User can upload resume files; files are associated with authenticated user; validation exists; no AI analysis is included.",Medium,8,Sprint 2 / v1.0,To Do,"resume,frontend,backend"
T18,S18,Task,Define and implement resume upload flow,,Resume Manager,AF-ST-018 Resume Upload,Create approved backend/frontend contract and upload UI/API.,"Authenticated user can upload validated resume files.",Medium,,Sprint 2 / v1.0,To Do,"resume"
SB18,T18,Sub-task,Document resume upload contract,,Resume Manager,Define and implement resume upload flow,Record accepted file types size limits and response shape.,"Contract is documented before implementation completion.",Medium,,Sprint 2 / v1.0,To Do,"documentation"
S19,,Story,AF-ST-019 Resume Management,,Resume Manager,,As a user I want to view and remove resumes so my documents stay organized.,"User can view and delete uploaded resumes; resume records are scoped to authenticated user.",Medium,5,Sprint 2 / v1.0,To Do,"resume,crud,frontend,backend"
T19,S19,Task,Build resume list and delete workflow,,Resume Manager,AF-ST-019 Resume Management,Create resume management UI and API integration for list/delete.,"Resume lifecycle can be managed by authenticated user.",Medium,,Sprint 2 / v1.0,To Do,"resume,crud"
SB19,T19,Sub-task,Verify resume empty and delete states,,Resume Manager,Build resume list and delete workflow,Test empty list delete confirmation and API failure state.,"Resume UX handles common states.",Medium,,Sprint 2 / v1.0,To Do,"testing"
S20,,Story,AF-ST-020 Interview and Follow-Up Reminders,,Calendar and Reminders,,As a user I want follow-up and interview reminders so I do not miss important dates.,"Upcoming follow-up/interview reminders are visible; uses approved date fields or data model; no unapproved notification provider.",Medium,8,Sprint 2 / v1.0,To Do,"calendar,reminders,applications"
T20,S20,Task,Design reminder visibility workflow,,Calendar and Reminders,AF-ST-020 Interview and Follow-Up Reminders,Create reminder UI using existing or approved application date data.,"Users can see upcoming reminders.",Medium,,Sprint 2 / v1.0,To Do,"calendar,frontend"
SB20,T20,Sub-task,Validate reminder data source,,Calendar and Reminders,Design reminder visibility workflow,Confirm whether existing follow-up date is sufficient or new contract is required.,"Reminder scope is confirmed before build completion.",Medium,,Sprint 2 / v1.0,To Do,"analysis"
S21,,Story,AF-ST-021 AI Resume Analyzer,,AI Features,,As a user I want AI resume analysis so I can improve my resume for applications.,"User can select resume; AI returns structured strengths weaknesses and suggestions; resume manager remains intact.",Medium,13,Sprint 3 / v1.0,To Do,"ai,resume,enhancement"
T21,S21,Task,Define and build AI resume analysis flow,,AI Features,AF-ST-021 AI Resume Analyzer,Approve AI contract then add analysis API/UI integration.,"AI analysis is structured and displayed clearly.",Medium,,Sprint 3 / v1.0,To Do,"ai,resume"
SB21,T21,Sub-task,Review AI data handling rules,,AI Features,Define and build AI resume analysis flow,Document how resume data is sent processed and displayed.,"Data handling is approved.",High,,Sprint 3 / v1.0,To Do,"security,ai"
S22,,Story,AF-ST-022 AI Job Match Scoring,,AI Features,,As a user I want AI job match scoring so I can prioritize the best opportunities.,"Resume and application data can be compared; score and explanation are returned; existing CRUD remains unaffected.",Medium,13,Sprint 3 / v1.0,To Do,"ai,applications,scoring"
T22,S22,Task,Build AI match scoring workflow,,AI Features,AF-ST-022 AI Job Match Scoring,Add approved scoring contract and UI display for match score and explanation.,"Users can see explainable job match score.",Medium,,Sprint 3 / v1.0,To Do,"ai,scoring"
SB22,T22,Sub-task,Validate score display does not block CRUD,,AI Features,Build AI match scoring workflow,Test application CRUD with scoring unavailable or failing.,"CRUD still works when scoring fails.",High,,Sprint 3 / v1.0,To Do,"testing,ai"
S23,,Story,AF-ST-023 AI Career Assistant,,AI Features,,As a user I want an AI career assistant so I can get job-search guidance.,"User can ask questions; assistant responds in chat-style UI; assistant does not alter application data without user action.",Low,13,Sprint 3 / v1.0,To Do,"ai,assistant,frontend"
T23,S23,Task,Build career assistant experience,,AI Features,AF-ST-023 AI Career Assistant,Create scoped assistant UI and approved API integration.,"Assistant provides guidance without changing user data automatically.",Low,,Sprint 3 / v1.0,To Do,"ai,assistant"
SB23,T23,Sub-task,Define assistant scope and guardrails,,AI Features,Build career assistant experience,Document permitted assistant behavior and limitations.,"Guardrails are approved before release.",Medium,,Sprint 3 / v1.0,To Do,"documentation,ai"
S24,,Story,AF-ST-024 Frontend Deployment,,Deployment,,As a stakeholder I want the frontend deployed so users can access ApplyFlow AI.,"Production build passes; env vars are configured; frontend connects to deployed backend; protected routes work.",High,5,Sprint 3 / v1.0,To Do,"deployment,frontend,release"
T24,S24,Task,Prepare and deploy frontend,,Deployment,AF-ST-024 Frontend Deployment,Configure environment build deploy and smoke test frontend.,"Frontend is reachable and integrated with backend.",High,,Sprint 3 / v1.0,To Do,"deployment,frontend"
SB24,T24,Sub-task,Run production frontend smoke test,,Deployment,Prepare and deploy frontend,Verify login dashboard applications and board in deployed environment.,"Critical frontend paths pass.",High,,Sprint 3 / v1.0,To Do,"testing,release"
S25,,Story,AF-ST-025 Backend Deployment,,Deployment,,As a stakeholder I want the backend deployed so frontend users can access APIs.,"Backend deploys; PostgreSQL works; JWT settings are configured securely; migrations are applied; core APIs pass smoke tests.",High,8,Sprint 3 / v1.0,To Do,"deployment,backend,postgresql,release"
T25,S25,Task,Prepare and deploy backend,,Deployment,AF-ST-025 Backend Deployment,Configure production database JWT secrets migrations API deployment and smoke testing.,"Backend APIs are available for production frontend.",High,,Sprint 3 / v1.0,To Do,"deployment,backend"
SB25,T25,Sub-task,Apply migrations and verify core APIs,,Deployment,Prepare and deploy backend,Apply EF Core migrations and test auth applications and dashboard endpoints.,"Production backend smoke tests pass.",High,,Sprint 3 / v1.0,To Do,"testing,postgresql"
